start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
4280.00,4280.00,WOMAN,DAN,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
4281.00,4281.00,WOMAN,DAN,,HEAD,PAT,0,POSITIVE,POSITIVE,1,
4284.00,4284.00,WOMAN,DAN,,HEAD,FIX CLOTHING,0,POSITIVE,POSITIVE,1,
4286.00,4286.00,WOMAN,DAN,,HEAD,PAT,0,POSITIVE,POSITIVE,1,
4296.00,4296.00,WOMAN,WOMAN,,,BRUSH PAST,0,POSITIVE,NEGATIVE,0,
4297.00,4298.00,WOMAN,DAN,FACE,HEAD,,0,POSITIVE,STRONG_POSITIVE,1,
4298.00,4299.00,WOMAN,FORREST,,,PAT,0,POSITIVE,POSITIVE,1,
4354.00,4356.00,,FORREST,FACE,FACE,,0,POSITIVE,POSITIVE,1,
4504.00,4507.00,MRS. GUMP,FORREST,,,HOLD,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
4506.00,4506.00,MRS. GUMP,FORREST,FACE,FACE,,1,STRONG_POSITIVE,STRONG_POSITIVE,,AUDITORY
4506.00,4508.00,FORREST,MRS. GUMP,,,TAP,0,STRONG_POSITIVE,STRONG_POSITIVE,1,AUDITORY
4509.00,4511.00,MRS. GUMP,FORREST,,,LEAD,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
4724.00,4725.00,MEN,JENNY,,BACK,PAT,0,POSITIVE,NEGATIVE,1,
4900.00,4900.00,FORREST,DAN,,,SHAKE_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
4900.00,4900.00,FORREST,DAN,,,SHAKE_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
4901.00,4901.00,FORREST,DAN,,,SHAKE_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
4973.00,4982.00,,,,,DANCE,0,POSITIVE,POSITIVE,1,
5257.00,5263.00,,,,,DANCE,0,POSITIVE,POSITIVE,1,
5278.00,5278.00,WOMAN,OLDMAN,,,SHAKE_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5418.00,5429.00,JENNY,FORREST,,,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
5483.00,5485.00,JENNY,FORREST,,,PAT,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5488.00,5491.00,JENNY,FORREST,,,DANCE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
