start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:56:18:08;00:56:18:20;woman;fg;hand;ruecken;weg;wea;pos;pos;ja;
00:56:18:18;00:56:19:20;woman;fg;hand;schulter;klop;wea;pos;pos;ja;
00:56:19:05;00:56:19:20;woman;man;hand;ruecken;weg;wea;pos;pos;ja;
00:56:20:01;00:56:20:11;woman;man;hand;arm;fes;wea;pos;pos;ja;
00:56:20:10;00:56:21:01;man;fg;hand;ruecken;sb;wea;pos;pos;ja;
00:56:21:20;00:56:22:20;man;fg;hand;arm;fes;wea;pos;pos;ja;
00:56:21:17;00:56:22:16;men;men;hand;arm schulter;fueh;wea;pos;pos;ja;
00:56:21:17;00:56:22:15;woman;man;hand;arm;sb;wea;pos;pos;ja;
00:56:56:18;00:56:56:23;woman;fg;hand;schulter;sb;wea;pos;neg;ja;
00:56:57:23;00:56:58:07;woman;fg;hand;arm;fueh;wea;pos;pos;ja;
00:57:03:03;00:57:04:00;man;fg;hand;ruecken;ans;str;pos;pos;ja;
00:58:13:13;00:58:13:21;woman;oldman;hand;ruecken;weg;wea;neg;pos;ja;
00:58:14:22;00:58:15:16;man;oldman;hand arm brust;ruecken schulter arm;zie;str;neg;neg;ja;
00:58:15:09;00:58:15:14;woman;oldman;hand;arm;weg;wea;neg;neg;ja;narr
00:58:32:21;00:58:33:02;woman;woman;hand;hand;sb;wea;pos;pos;nein;
00:58:44:09;00:58:56:01;man;fg;hand arm;schulter;arm;wea;spos;pos;ja;narr
00:59:26:19;00:59:38:07;jc;fg;hand arm brust nacken schulter bauch;hand arm brust nacken schulter bauch;arm;str;spos;spos;ja;narr
00:59:38:08;00:59:46:24;jc;fg;hand arm schulter;arm schulter;ein;str;spos;spos;ja;
00:59:38:08;00:59:46:24;fg;jc;arm schulter;hand arm schulter;ein;wea;pos;pos;ja;
00:59:53:17;00:59:54:10;man;fg;hand;arm;lag;str;neg;neg;ja;aud
00:59:54:14;00:59:54:17;man;fg;hand;bauch;abt;str;neg;neg;ja;
00:59:55:15;00:59:56:10;jc;man;hand;brust;sb;wea;pos;neg;ja;
00:59:56:07;00:59:56:10;man;jc;hand;hand arm;weg;str;neg;neg;ja;
