start;end;actor;recp;bp_actor;bp_recp;labels;int_bc;val_actor;val_recp;intention;audio_info
01:02:26;01:02:31;jc;fg;arm hand;arm;ein;wea;pos;pos;ja;
01:02:27;01:02:28;jc;fg;hand;arm;tae;wea;pos;spos;ja;
01:02:55;01:02:56;jc;woman;arm;arm;nah;wea;pos;pos;nein;
01:02:55;01:02:56;woman;jc;arm;arm;nah;wea;pos;pos;nein;
01:04:04;01:04:05;fg;jc;hand;hand;hah;wea;pos;spos;ja;narr
01:04:29;01:04:34;jc;fg;arm bauch brust hals kopf ruecken;arm brust gesicht hand hals kopf ruecken schulter;hug;wea;pos;spos;ja;narr
01:04:30;01:04:32;fg;jc;hand;ruecken;tae;wea;spos;spos;ja;
01:08:32;01:08:37;crowd;crowd;arm;arm;nah;wea;pos;pos;nein;
01:08:44;01:08:45;crowd;crowd;arm;arm;nah;wea;pos;pos;nein;
01:10:52;01:10:56;dt;fg;hand;schulter;klop;wea;pos;pos;ja;
01:11:11;01:11:13;woman;dt;hand;schulter;sch;wea;pos;pos;ja;
01:11:12;01:11:13;woman;dt;hand;kopf;sch;wea;pos;pos;ja;
01:11:21;01:11:21;woman;dt;hand;kopf;sb;wea;pos;pos;ja;
01:11:24;01:11:24;woman;dt;hand;kopf;klei;wea;pos;pos;ja;
01:11:26;01:11:26;woman;dt;hand;kopf;fes;wea;pos;pos;ja;
01:11:34;01:11:36;woman;woman;hand;brust;ans;wea;pos;pos;ja;
01:11:37;01:11:38;woman;dt;gesicht;kopf;kuss;wea;pos;pos;ja;
01:11:38;01:11:40;woman;fg;hand;schulter;ans;wea;pos;pos;ja;
01:12:34;01:12:36;woman;fg;arm gesicht;gesicht nacken;kuss;wea;pos;pos;ja;narr
01:12:34;01:12:36;woman;fg;arm gesicht;gesicht nacken;kuss;wea;pos;pos;ja;narr
01:15:04;01:15:07;mg;fg;hand;schulter;fes;wea;spos;pos;ja;aud
01:15:06;01:15:07;mg;fg;gesicht;gesicht;kuss;wea;spos;pos;ja;aud
01:15:07;01:15:08;fg;mg;hand;schulter;tae;wea;pos;pos;ja;
01:15:09;01:15:11;mg;fg;hand;hand;fueh;wea;spos;pos;ja;
01:18:16;01:18:17;man;woman;hand;hand;fueh;wea;pos;pos;ja;
01:18:44;01:18:46;man;jc;hand;ruecken;sch;wea;pos;neg;ja;narr
01:21:40;01:21:41;fg;dt;hand;hand;haes;wea;spos;pos;ja;aud
01:23:26;01:23:27;dt;fg;arm;schulter;sb;wea;neg;neg;nein;
01:23:29;01:23:30;dt;fg;arm;schulter;sb;wea;neg;neg;nein;
01:23:32;01:23:33;dt;fg;arm;schulter;sb;wea;neg;neg;nein;
01:27:58;01:27:58;oldman;oldwoman;hand;hand;haes;wea;pos;pos;ja;
01:27:58;01:27:58;oldwoman;oldman;hand;hand;haes;wea;pos;pos;ja;
01:27:58;01:27:59;girl;woman;hand;hand;hah;wea;pos;pos;ja;
01:27:58;01:27:59;woman;girl;hand;hand;hah;wea;pos;pos;ja;
01:28:03;01:28:10;girl;boy;hand;schulter;arm;wea;pos;pos;ja;
01:28:04;01:28:07;woman;boy;arm;arm brust;sb;wea;pos;pos;nein;
01:28:06;01:28:10;girl;boy;arm;schulter;arm;wea;pos;pos;ja;
01:30:19;01:30:29;jc;fg;arm bauch brust gesicht hand hals ruecken schulter;arm bauch brust gesicht hand hals nacken ruecken schulter;hug;str;spos;spos;ja;narr
01:30:24;01:30:29;fg;jc;arm bauch brust gesicht hand hals nacken ruecken schulter;arm bauch brust gesicht hand hals ruecken schulter;hug;wea;spos;spos;ja;narr
01:31:23;01:31:24;jc;fg;hand;schulter;arm;wea;pos;pos;ja;
01:31:24;01:31:26;jc;fg;hand;arm schulter;sch;wea;pos;pos;ja;
01:31:28;01:31:32;fg;jc;arm hand ruecken;arm hand;tanz;wea;pos;pos;ja;narr
01:31:28;01:31:32;jc;fg;arm hand;arm hand ruecken;tanz;wea;pos;pos;ja;narr
01:31:36;01:31:41;fg;jc;hand;hand;tanz;wea;pos;pos;ja;narr
01:31:36;01:31:41;jc;fg;hand;hand;tanz;wea;pos;pos;ja;narr
01:31:46;01:31:48;fg;jc;hand;hand;tanz;wea;pos;pos;ja;narr
01:31:46;01:31:48;jc;fg;hand;hand;tanz;wea;pos;pos;ja;narr
01:31:48;01:31:49;fg;jc;arm gesaess schulter;arm gesaess schulter;nah;wea;pos;pos;nein;
01:31:48;01:31:49;jc;fg;arm gesaess schulter;arm gesaess schulter;nah;wea;pos;pos;nein;
01:31:49;01:31:55;jc;fg;arm brust gesicht hand schulter ;arm ruecken schulter;sch;wea;spos;spos;ja;narr
01:32:20;01:32:23;jc;fg;hand;ruecken schulter;sch;wea;pos;pos;ja;
01:32:21;01:32:21;jc;fg;gesicht;kopf;kuss;wea;pos;pos;ja;aud narr
01:33:48;01:34:22;jc;fg;arm bauch bein brust hand huefte ;bauch bein brust huefte schulter ;lie;str;spos;spos;ja;narr
01:33:52;01:33:53;jc;fg;gesicht;gesicht;kuss;wea;spos;spos;ja;aud narr
01:33:54;01:33:55;jc;fg;gesicht;gesicht;sch;wea;spos;pos;ja;
01:33:56;01:34:09;fg;jc;gesicht;gesicht;kuss;wea;spos;spos;ja;aud narr
01:33:56;01:34:09;jc;fg;gesicht;gesicht;kuss;wea;spos;spos;ja;aud narr
01:34:03;01:34:11;fg;jc;arm hand;arm ruecken schulter;hug;str;spos;spos;ja;narr
01:34:15;01:34:22;fg;jc;arm hand;ruecken schulter;hug;str;spos;spos;ja;narr
01:38:44;01:38:45;fg;man;hand;arm;sb;wea;pos;pos;nein;
01:38:44;01:38:45;man;fg;arm;hand;sb;wea;pos;pos;nein;
01:38:45;01:38:45;fg;man;hand;arm;sb;wea;pos;pos;nein;
01:38:45;01:38:45;fg;man;arm;arm;sb;wea;pos;pos;nein;
01:38:46;01:38:46;fg;man;hand;arm;sb;wea;pos;pos;nein;
01:38:46;01:38:47;fg;man;hand;arm;sb;wea;pos;pos;nein;
01:38:48;01:38:48;fg;man;hand;arm;sb;wea;pos;pos;nein;
01:38:48;01:38:48;fg;man;arm;arm;sb;wea;pos;pos;nein;
01:38:49;01:38:49;fg;man;hand;arm;sb;wea;pos;pos;nein;
01:38:50;01:38:54;fg;man;arm;arm;sb;wea;pos;pos;nein;
01:38:58;01:38:58;fg;man;arm;arm;sb;wea;pos;pos;nein;
01:39:55;01:39:55;man;fg;hand;schulter;klop;wea;spos;pos;ja;
01:40:28;01:40:28;man;fg;hand;arm;sb;wea;neg;neg;nein;
01:41:26;01:41:27;boy;man;arm hand;bauch;ans;wea;neg;neg;ja;
01:42:19;01:42:20;man;man;arm schulter;arm schulter;sb;wea;sneg;sneg;nein;
01:42:19;01:42:20;man;man;arm schulter;arm schulter;sb;wea;sneg;sneg;nein;
01:43:09;01:43:10;fg;oldwoman;hand;hand;sb;wea;pos;pos;nein;
01:43:09;01:43:10;oldwoman;fg;hand;hand;sb;wea;pos;pos;nein;
01:43:24;01:43:26;jc;fg;arm bauch brust hand hals ruecken schulter;arm bauch brust hand hals ruecken schulter;hug;str;spos;pos;ja;narr
01:43:25;01:43:25;fg;jc;hand;ruecken;tae;wea;spos;spos;ja;
01:44:41;01:44:42;jc;boy;hand;schulter;lag;str;spos;pos;ja;narr
01:44:42;01:44:44;jc;boy;arm bauch hand nacken schulter;arm gesaess hand;tra;str;pos;pos;ja;
01:44:47;01:44:58;jc;boy; arm bauch hand nacken schulter;arm gesaess hand;tra;str;pos;pos;ja;narr
01:44:53;01:44:53;jc;boy;hand;arm gesaess;fes;wea;pos;pos;ja;
01:44:53;01:44:54;jc;boy;hand;arm;nah;wea;pos;pos;ja;
01:44:54;01:44:58;jc;boy;hand;brust;tae;wea;pos;pos;ja;
01:45:02;01:45:03;jc;boy;hand;brust;nah;wea;pos;pos;ja;
01:45:03;01:45:04;jc;boy;arm hand schulter;arm schulter;lag;str;pos;pos;ja;narr
01:45:44;01:45:45;jc;fg;hand;brust;sb;wea;pos;neg;ja;
01:45:46;01:45:51;jc;fg;hand;hand;hah;wea;pos;neg;ja;narr
01:47:54;01:47:55;oldman;oldwoman;hand;ruecken;sb;wea;pos;pos;ja;
01:47:54;01:47:55;oldman;oldwoman;arm;hand;ein;wea;pos;pos;ja;
01:47:54;01:47:55;oldwoman;oldman;hand;arm;ein;wea;pos;pos;ja;
01:47:59;01:48:00;woman;fg;hand;schulter;ans;wea;pos;pos;ja;
01:48:22;01:48:30;jc;fg;hand;bauch brust hals;klei;wea;pos;pos;ja;narr
01:48:37;01:48:38;jc;fg;hand;brust;klei;wea;pos;spos;ja;narr
01:48:38;01:48:39;jc;fg;hand;arm;sb;wea;pos;spos;ja;
01:49:17;01:49:20;dt;woman;arm brust hand;ruecken schulter;arm;wea;spos;pos;ja;
01:49:25;01:49:27;dt;woman;arm brust hand;ruecken schulter;arm;wea;spos;pos;ja;
01:49:25;01:49:27;woman;dt;ruecken schulter;arm brust hand;arm;wea;pos;pos;ja;
01:49:35;01:49:36;jc;dt;gesicht;gesicht;kuss;wea;spos;spos;ja;narr
01:49:46;01:49:49;jc;boy;hand;arm;lag;wea;spos;pos;ja;
01:49:50;01:49:59;fg;jc;hand;hand;hah;wea;spos;spos;ja;
01:49:50;01:49:59;jc;fg;hand;hand;hah;wea;spos;spos;ja;
01:49:53;01:49:59;dt;woman;hand;schulter;sch;wea;spos;spos;ja;
01:50:02;01:50:07;fg;jc;hand;hand;hah;wea;pos;pos;ja;narr
01:50:02;01:50:07;jc;fg;hand;hand;hah;wea;pos;pos;ja;narr
01:50:06;01:50:13;fg;boy;hand;hand;hah;wea;pos;pos;ja;
01:50:11;01:50:12;fg;jc;hand;hand;hah;wea;pos;pos;ja;
01:50:11;01:50:12;jc;fg;hand;hand;hah;wea;pos;pos;ja;
01:52:04;01:52:07;jc;fg;hand;hand;hah;wea;neg;pos;ja;narr
01:53:02;01:53:03;fg;boy;gesicht;kopf;kuss;wea;pos;pos;ja;
01:55:54;01:56:05;fg;boy;arm schulter;arm kopf schulter;nah;wea;pos;pos;nein;
01:55:54;01:56:05;boy;fg;arm kopf schulter;arm schulter;nah;wea;pos;pos;nein;
01:56:08;01:56:09;fg;boy;arm;arm;sb;wea;pos;pos;nein;
01:56:11;01:56:11;fg;boy;arm;arm schulter;sb;wea;pos;pos;nein;
01:56:14;01:56:15;fg;boy;hand;ruecken;fueh;wea;pos;pos;ja;
