start,end,actor,recp,bp_actor,bp_recp,labels,int-bc,val_actor,val_recp,intention,audio_info
01:31:47:24,01:31:56:03,jc,fg,arm,arm,nah,wea,spos,spos,ja,
01:31:47:24,01:31:56:03,fg,jc,arm,arm,nah,wea,spos,spos,ja,
01:31:49:16,01:31:56:03,jc,fg,arm,huefte,arm,wea,spos,spos,ja,
01:31:52:15,01:31:54:07,jc,fg,kopf,schulter,nah,wea,spos,spos,ja,
01:32:20:24,01:32:21:21,jc,fg,hand,ruecken,sb,wea,pos,pos,ja,
01:32:21:07,01:32:21:21,jc,fg,gesicht,kopf,kuss,wea,pos,pos,ja,
01:33:47:14,01:34:22:13,jc,fg,bauch brust ,bauch brust,lie,str,pos,pos,ja,
01:33:52:15,01:33:53:09,jc,fg,gesicht,gesicht,kuss,wea,spos,spos,ja,
01:33:56:21,01:33:58:21,jc,fg,gesicht,gesicht,kuss,str,spos,spos,ja,
01:33:56:21,01:33:58:21,fg,jc,gesicht,gesicht,kuss,str,spos,spos,ja,
01:33:59:07,01:34:07:09,jc,fg,gesicht,gesicht,kuss,str,spos,spos,ja,
01:34:03:11,01:34:10:12,fg,jc,arm,ruecken,hug,str,spos,spos,ja,
01:34:07:19,01:34:08:13,jc,fg,gesicht,gesicht,kuss,str,spos,spos,ja,
01:34:09:04,01:34:09:19,jc,fg,gesicht,gesicht,nah,str,spos,spos,ja,
01:34:10:17,01:34:11:11,fg,jc,hand,arm,sch,str,spos,spos,ja,
01:34:16:06,01:34:22:13,fg,jc,hand,ruecken,hug,str,spos,spos,ja,
01:34:19:17,01:34:22:13,fg,jc,hand,ruecken,sch,str,spos,spos,ja,
01:38:49:22,01:38:55:13,men,fg,arm,arm,remp,wea,pos,pos,ja,
01:43:24:03,01:43:26:05,jc,fg,arm,nacken,hug,str,spos,spos,ja,
01:43:25:01,01:43:26:05,fg,jc,arm,ruecken,hug,str,spos,spos,ja,
01:44:39:10,01:44:39:22,woman,boy,hand,hand,hah,wea,pos,pos,ja,
01:44:39:23,01:44:40:04,woman,boy,hand,hand,zie,wea,pos,pos,ja,
01:44:40:18,01:44:41:10,woman,boy,hand,arm,fes,wea,pos,pos,ja,
01:44:40:19,01:44:42:04,jc,boy,arm,arm,lag,wea,spos,spos,ja,
01:44:42:04,01:44:58:23,jc,boy,arm,arm ruecken,tra,wea,spos,spos,ja,
01:44:52:15,01:44:54:03,jc,boy,hand,arm,nah,wea,spos,spos,ja,
