start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:46:58;00:46:59;fg;man;hand fuss bein;schulter arm;lag;str;pos;pos;ja;
00:47:00;00:47:00;fg;man;hand;brust;zie;str;pos;pos;ja;
00:47:01;00:47:02;fg;man;hand;huefte;sb;str;pos;pos;ja;narr
00:47:01;00:47:02;man;man;schulter arm;schulter arm;nah;wea;pos;pos;nein;
00:47:22;00:47:24;fg;dt;bauch brust arm huefte;bauch brust arm huefte;lie;str;pos;neg;ja;
00:47:24;00:47:24;dt;fg;arm hand;kopf brust;weg;str;sneg;neg;ja;
00:47:25;00:47:30;fg;dt;haende arm brust bauch;bein huefte bauch brust arm hand;lie;str;pos;sneg;ja;narr
00:47:30;00:47:36;dt;fg;hand arm brust bauch huefte bein;hand arm brust bauch huefte bein;rin;str;sneg;sneg;ja;
00:47:35;00:47:36;fg;dt;hand arm;brust schulter;zie;str;pos;sneg;ja;
00:47:36;00:47:37;fg;dt;ruecken;brust huefte arm;lag;str;pos;sneg;ja;narr
00:47:37;00:47:40;fg;dt;ruecken gesaess;brust huefte arm bein;tra;str;pos;sneg;ja;
00:47:46;00:47:51;fg;dt;nacken ruecken brust schulter;brust huefte arm bein;tra;str;pos;sneg;ja;
00:47:51;00:47:51;fg;dt;ruecken arm hand gesaess;bein huefte bauch ;lie;str;neg;sneg;nein;
00:47:56;00:48:00;fg;dt;hand;hand;zie;str;pos;sneg;ja;
00:48:02;00:48:03;fg;dt;nacken ruecken schulter;huefte bauch brust;tra;str;pos;sneg;ja;narr
00:48:04;00:48:08;fg;dt;nacken kopf ruecken brust hand arm;brust arm schulter;tra;str;pos;sneg;ja;
00:48:08;00:48:15;fg;dt;hand arm schulter brust nacken ruecken;arm schulter brust bauch bein gesaess;tra;str;pos;sneg;ja;
00:48:16;00:48:18;fg;dt;hand arm brust bauch;huefte brust bauch ;lie;str;pos;sneg;nein;narr
00:48:19;00:48:21;dt;fg;hand;arm;fes;str;sneg;neg;ja;narr
00:48:21;00:48:28;dt;fg;hand;schulter;fes;str;spos;sneg;ja;
00:48:29;00:48:30;fg;dt;hand;arm;weg;str;sneg;sneg;ja;
00:48:59;00:48:59;fg;bb;hand;schulter;klop;wea;pos;pos;ja;
00:49:21;00:49:24;fg;bb;hand arm brust bauch schulter;ruecken huefte arm;lag;str;pos;pos;ja;
00:49:25;00:49:30;fg;bb;hand arm schulter brust bauch huefte;arm huefte gesaess ruecken bein;tra;str;pos;pos;ja;narr
00:49:25;00:49:30;bb;fg;arm;nacken schulter;arm;str;pos;pos;ja;
00:49:30;00:49:36;bb;fg;arm;nacken schulter;arm;str;pos;pos;ja;
00:49:42;00:49:56;fg;bb;arm hand huefte bauch schulter;bein huefte arm;tra;str;pos;pos;ja;
00:49:42;00:49:56;bb;fg;arm;nacken schulter;arm;str;pos;pos;ja;
00:50:04;00:50:13;fg;bb;arm hand huefte bauch schulter;bein huefte arm;tra;str;pos;pos;ja;narr
00:50:04;00:50:13;bb;fg;arm;nacken schulter;arm;str;pos;pos;ja;
